Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR31835455,2024-12-26 16:12:05,2024-12-26 16:08:18,16434587,3319786574,16434587,202,2220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835455/SRR31835455.lite.1,SRX27195890,EF101N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533021,SAMN05330370,simple,7227,Drosophila melanogaster,EF101N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,09D4D5A77A191912663BECB382874B15,7B6AFBC7B339ED990AA00591EE236668
SRR31835444,2024-12-26 16:12:01,2024-12-26 16:08:11,10355306,2091771812,10355306,202,1328,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835444/SRR31835444.lite.1,SRX27195901,EF102N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533033,SAMN05330371,simple,7227,Drosophila melanogaster,EF102N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,FC87E9160EA128ACB97C768422FFBC70,4F59DA26FEA7E53230C127C66D0A6393
SRR31835529,2024-12-26 16:17:40,2024-12-26 16:09:43,14921785,3014200570,14921785,202,2037,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835529/SRR31835529.lite.1,SRX27195816,EF103N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533044,SAMN05330372,simple,7227,Drosophila melanogaster,EF103N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,6EBAFE822283479F341831E5045B7EC0,D59CC9F0D6A5FA2CAE744A39B64039FD
SRR31835518,2024-12-26 16:12:09,2024-12-26 16:07:27,12401860,2505175720,12401860,202,1449,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835518/SRR31835518.lite.1,SRX27195827,EF108N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533053,SAMN05330373,simple,7227,Drosophila melanogaster,EF108N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,F4659111A13584AA03B1F3850B009E4E,404DED80C130F28841F40538A486D347
SRR31835507,2024-12-26 16:19:38,2024-12-26 16:12:27,29819815,6023602630,29819815,202,3785,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835507/SRR31835507.lite.1,SRX27195838,EF10N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533066,SAMN05330374,simple,7227,Drosophila melanogaster,EF10N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,F5061E506F8EC39CC94A55525D766EA4,E3CB1C61AC33126C84FF56D105E41BDF
SRR31835432,2024-12-26 16:17:41,2024-12-26 16:10:50,21447701,4332435602,21447701,202,2944,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835432/SRR31835432.lite.1,SRX27195913,EF110N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533077,SAMN05330375,simple,7227,Drosophila melanogaster,EF110N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,19D1BD3D4D98B72B942FD798B18273C6,3B1018A6E1BB408C060E698A1BC052C3
SRR31835421,2024-12-26 16:12:03,2024-12-26 16:08:23,10243340,2069154680,10243340,202,1192,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835421/SRR31835421.lite.1,SRX27195924,EF112N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533088,SAMN05330376,simple,7227,Drosophila melanogaster,EF112N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,4FD9C9BDB2763C1E867FCDC2E6636B98,B9755C289F34852210E3D6A3AD6CDF55
SRR31835410,2024-12-26 16:12:02,2024-12-26 16:07:51,12496510,2524295020,12496510,202,1607,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835410/SRR31835410.lite.1,SRX27195935,EF114N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533099,SAMN05330377,simple,7227,Drosophila melanogaster,EF114N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,3D09266703A4C36215CA5BD4234F7730,25CCCC0E93F526AF415DC473AFC67DCD
SRR31835399,2024-12-26 16:12:02,2024-12-26 16:07:35,15191177,3068617754,15191177,202,2019,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835399/SRR31835399.lite.1,SRX27195946,EF115N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533110,SAMN05330378,simple,7227,Drosophila melanogaster,EF115N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,185621CC92B5FA32678CA68B5A6CA34C,5911816D48E19306CAD5A0DB643D18F0
SRR31835388,2024-12-26 16:12:02,2024-12-26 16:09:02,12997166,2625427532,12997166,202,1578,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835388/SRR31835388.lite.1,SRX27195957,EF116N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533122,SAMN05330379,simple,7227,Drosophila melanogaster,EF116N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,1B7A8F8EA293D37FA8A787AD6B5743D2,A8B25011320F79990FB1B48C69E5C54C
